SMILES,pIC50,ChEMBL ID
O=C(O)[C@H]1[C@H](Cn2nnc3ccccc3c2=O)CC[C@@H]1C(=O)c1ccc(OCCC2CCOCC2)cc1,10.07058107,CHEMBL4585243
Cc1ccc(-c2ccc3oc4cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc4c3c2)o1,10,CHEMBL1935285
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3ccc(Cl)o3)cc12)C(=O)O,10,CHEMBL1935286
CC(C)ON([C@@H](C(=O)NO)C(C)C)S(=O)(=O)c1ccc(-c2ccccc2)cc1,9.698970004,CHEMBL179288
Cc1ccc(-c2ccc3oc4cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc4c3c2)s1,9.698970004,CHEMBL1935288
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3cccs3)cc12)C(=O)O,9.698970004,CHEMBL1935287
O=C(NO)C1(NS(=O)(=O)c2ccc(Oc3ccc(F)cc3)cc2)CCOCC1,9.619788758,CHEMBL111856
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3noc(C4CCOC4)n3)cc12)C(=O)O,9.522878745,CHEMBL1935304
Cc1ccc(-c2cc(-c3ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc3)no2)s1,9.434152181,CHEMBL5288452
COC(=O)Nc1ccc2sc3cc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)ccc3c2c1,9.397940009,CHEMBL561312
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3ccoc3)cc12)C(=O)O,9.397940009,CHEMBL1935284
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3ccc[nH]3)cc12)C(=O)O,9.397940009,CHEMBL1935290
CCc1ccc(-c2cc(-c3ccc(S(=O)(=O)N[C@H](C(=O)O)C(C)C)cc3)no2)s1,9.247183569,CHEMBL5280430
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-n3ccc(C(F)(F)F)n3)cc12)C(=O)O,9.15490196,CHEMBL1935280
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(NC(=O)Nc3ccsc3)cc12)C(=O)O,9.045757491,CHEMBL523683
O=C(NO)C1c2ccc(Oc3ccccc3)cc2CCN1S(=O)(=O)c1cc(Cl)ccc1Cl,9.031517051,CHEMBL2337131
O=C(NO)[C@@]1(O)COCC[C@H]1S(=O)(=O)c1ccc(OCc2ccc(Cl)cc2Cl)cc1,9.022276395,CHEMBL366111
CC(C)[C@H](NS(=O)(=O)c1ccc2c(c1)oc1ccc(-c3nccs3)cc12)C(=O)O,9,CHEMBL1935291
